StartTime,MeanTime,Group,Summary
1343435438,1343438891,1226,“@EssTrip: Shawn Johnson is trending. Definitely one of the reasons I will be watching the gymnastics portion of the Olympics. #Olympics”
1343435432,1343438909,1227,#OLYMPICS! Stoked for swimming and gymnastics!
1343435428,1343438921,1228,“@NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics”
1343435410,1343438941,1229,I am so excited for this weekend! Crafts + #olympics #gymnastics alllllll weekend!!!! #TeamUSA!!!!! :D
1343435409,1343438941,1230,the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typicalgymnastprobs
1343435384,1343438944,1231,RT @LauraBrass94: Seriously can't wait for the gymnastics!! @BGMediaTeam #London2012 @TeamGB #ourgreatestteam
1343435374,1343438962,1232,Can't wait to watch the gymnastics! #USA #Olympics
1343435360,1343438967,1233,Opening ceremonies tonight ... Gymnastics tomorrow!!! #London2012 #gymnastics 😃
1343435319,1343438994,1234,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435298,1343439006,1235,Maybe I can get my own olympics show here at work. How many of you two year olds can do archery swimming or gymnastics? #London2012
1343435290,1343439008,1236,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343435284,1343439010,1237,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343435275,1343439010,1238,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435264,1343439016,1239,Cant wait for the #Olympics to start! #openingceremonies #Lovemesomegymnastics
1343435260,1343439018,1240,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435260,1343439029,1241,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343435252,1343439036,1242,RT @haleypolkxoxo: Can't wait to watch the gymnastics! #USA #Olympics
1343435247,1343439037,1243,in about 13 hours I will be in this area! PINK GYM! #olympics #gymnastics http://t.co/BL1YhKMx
1343435247,1343439040,1244,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435241,1343439040,1245,The biggest reason I watch gymnastics is cause of Shawn Johnson #london2012
1343435235,1343439063,1246,RT @Drake_Rhymes: Can't wait for gymnastics somersault. Your girl on my pole vault. #London2012 #Olympics
1343435228,1343439093,1247,RT @typicalgymprobs: the only time I will leave my couch for the next few weeks is to get food and go to gymnastics #london2012 #typical ...
1343435226,1343439112,1248,#Olympics opening ceremony tonight! Meet the upbeat gymnastics teams of 2012: http://t.co/lBYTt1Uc
1343435207,1343439147,1249,RT @Kapeachh: Goodluck USA gymnastics team!!:) #Olympics @Aly_Raisman
1343435194,1343439162,1250,Watching gymnastics videos from pervious Olympics. Can't wait for it to start! #London2012
